timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:53.967, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:53.968, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:54.189, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:54.190, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:54.404, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:54.405, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:54.619, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:54.620, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:54.826, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
