timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:48.500, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:48.501, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:48.808, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:48.809, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:49.040, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:49.041, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:49.254, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:49.255, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:49.472, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:49.473, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:49.671, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:49.672, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:49.904, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:49.906, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:50.178, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:50.179, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:50.410, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:50.410, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:50.616, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:50.618, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:50.850, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:50.851, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:51.081, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:51.082, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:51.322, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:51.323, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:51.567, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:51.568, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:51.943, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:51.945, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:52.171, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:52.172, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:52.391, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:52.392, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:52.609, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:52.610, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:52.805, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:52.806, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:53.103, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:53.104, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:53.343, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:53.344, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:53.571, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:53.573, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
