timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/04 14:51:59.313, A100-SXM4-40GB, P0, 35, 29 %, 17 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:59.314, A100-SXM4-40GB, P0, 32, 8 %, 4 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:59.315, A100-SXM4-40GB, P0, 52, 94 %, 11 %, 40537 MiB, 36783 MiB, 3754 MiB
2023/12/04 14:51:59.316, A100-SXM4-40GB, P0, 39, 99 %, 32 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:59.317, A100-SXM4-40GB, P0, 47, 59 %, 28 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:59.318, A100-SXM4-40GB, P0, 58, 83 %, 13 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:59.318, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:59.319, A100-SXM4-40GB, P0, 42, 68 %, 39 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:52:00.320, A100-SXM4-40GB, P0, 34, 40 %, 23 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:52:00.323, A100-SXM4-40GB, P0, 33, 46 %, 18 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:00.325, A100-SXM4-40GB, P0, 51, 87 %, 12 %, 40537 MiB, 36725 MiB, 3812 MiB
2023/12/04 14:52:00.327, A100-SXM4-40GB, P0, 43, 99 %, 58 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:00.330, A100-SXM4-40GB, P0, 48, 61 %, 29 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:52:00.334, A100-SXM4-40GB, P0, 57, 82 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:52:00.335, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:52:00.337, A100-SXM4-40GB, P0, 42, 68 %, 38 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:52:01.340, A100-SXM4-40GB, P0, 35, 47 %, 27 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:52:01.341, A100-SXM4-40GB, P0, 33, 41 %, 15 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:01.342, A100-SXM4-40GB, P0, 52, 92 %, 13 %, 40537 MiB, 36799 MiB, 3738 MiB
2023/12/04 14:52:01.343, A100-SXM4-40GB, P0, 41, 37 %, 15 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:01.344, A100-SXM4-40GB, P0, 47, 62 %, 30 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:52:01.345, A100-SXM4-40GB, P0, 58, 83 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:52:01.346, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:52:01.347, A100-SXM4-40GB, P0, 42, 68 %, 38 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:52:02.348, A100-SXM4-40GB, P0, 36, 46 %, 27 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:52:02.349, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:02.349, A100-SXM4-40GB, P0, 51, 88 %, 7 %, 40537 MiB, 34869 MiB, 5668 MiB
2023/12/04 14:52:02.350, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:02.351, A100-SXM4-40GB, P0, 47, 61 %, 29 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:52:02.352, A100-SXM4-40GB, P0, 58, 85 %, 13 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:52:02.353, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:52:02.354, A100-SXM4-40GB, P0, 42, 68 %, 39 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:52:03.355, A100-SXM4-40GB, P0, 35, 34 %, 21 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:52:03.356, A100-SXM4-40GB, P0, 33, 36 %, 15 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:03.357, A100-SXM4-40GB, P0, 52, 92 %, 12 %, 40537 MiB, 34869 MiB, 5668 MiB
2023/12/04 14:52:03.358, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:03.359, A100-SXM4-40GB, P0, 45, 57 %, 27 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:52:03.359, A100-SXM4-40GB, P0, 58, 85 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:52:03.360, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:52:03.361, A100-SXM4-40GB, P0, 42, 68 %, 38 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:52:04.362, A100-SXM4-40GB, P0, 34, 46 %, 27 %, 40537 MiB, 6134 MiB, 34403 MiB
